Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Ranged (3),,3d12+14,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,3d12+14,,,, Burst,,2,,Bug,Cute - 2d4 - Incentives,,,0,Bug Buzz, No Target,Special,2,19,Bug Buzz creates a 3-meter Burst. Bug Buzz lowers the target's Special Defense 1 Combat Stage on 19-20 during Accuracy Check.,,Cute - 2d4 - Incentives,Battle,19,,Battle,,Ranged (3), Burst,,,Bug,Special,Bug Buzz creates a 3-meter Burst. Bug Buzz lowers the target's Special Defense 1 Combat Stage on 19-20 during Accuracy Check.
Ranged (3),,3d10+12,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,3d10+12,,,, Burst,,2,,Dark,Cool - 2d4 - Round Starter,Flinches,,0,Dark Pulse, No Target,Special,2,17,Dark Pulse creates a 3-meter Burst. Dark Pulse Flinches all Legal Targets on 17-20 during Accuracy Check. *Grants: Aura,,Cool - 2d4 - Round Starter,EOT,17,,EOT,,Ranged (3), Burst,,Flinches,Dark,Special,Dark Pulse creates a 3-meter Burst. Dark Pulse Flinches all Legal Targets on 17-20 during Accuracy Check. *Grants: Aura
Ranged (10),,-,"Ranged (10), No Target, Burst",0,, No Target,,"Ranged (10), No Target, Burst",,-,,,, Burst,,4,,Dark,Smart - 2d4 - Excitement,,,0,Dark Void, No Target,Effect,4,,Dark Void creates a 10-meter Burst. All Legal Targets fall Asleep.,,Smart - 2d4 - Excitement,Battle,,,Battle,,Ranged (10), Burst,,,Dark,Effect,Dark Void creates a 10-meter Burst. All Legal Targets fall Asleep.
Ranged (5),,2d10+8,"Ranged (5), No Target, Burst",0,, No Target,,"Ranged (5), No Target, Burst",,2d10+8,,,, Burst,,3,,Dark,Cute - 2d4 - Excitement,,,0,Snarl, No Target,Special,3,,Snarl creates a 5-meter Burst. All Legal Targets have their Special Attack lowered 1 Combat Stage.,,Cute - 2d4 - Excitement,EoT,,,EoT,,Ranged (5), Burst,,,Dark,Special,Snarl creates a 5-meter Burst. All Legal Targets have their Special Attack lowered 1 Combat Stage.
Ranged (3),,3d12+14,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,3d12+14,,,, Burst,,2,,Dragon,Smart - 2d4 - Incentives,,,0,Dragon Pulse, No Target,Special,2,,Dragon Pulse creates a 3-meter Burst. *Grants: Aura,,Smart - 2d4 - Incentives,Battle,,,Battle,,Ranged (3), Burst,,,Dragon,Special,Dragon Pulse creates a 3-meter Burst. *Grants: Aura
Ranged (10),,7d10+28,"Ranged (10), No Target, Burst, Trap, Exhaust",0,, No Target,,"Ranged (10), No Target, Burst, Trap, Exhaust",,7d10+28,,,, Burst,,4,,Dragon,Cool - 2d4 - Seen Nothing Yet,,,0,Roar of Time, No Target,Special,4,,Roar of Time creates a 10-meter Burst. All legal targets are Trapped until they roll a 16-20 saving throw. They may attempt to make this save at any time once per round.,,Cool - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (10), Burst,,,Dragon,Special,Roar of Time creates a 10-meter Burst. All legal targets are Trapped until they roll a 16-20 saving throw. They may attempt to make this save at any time once per round.
Ranged (3),,3d10+12,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,3d10+12,,,, Burst,,2,,Electric,Cool - 2d4 - Round Starter,,,0,Discharge, No Target,Special,2,,Discharge creates a 3-meter Burst. Discharge Paralyzes all legal targets on 15-20 during Accuracy Check. *Grants: Zapper,,Cool - 2d4 - Round Starter,EOT,,,EOT,,Ranged (3), Burst,,,Electric,Special,Discharge creates a 3-meter Burst. Discharge Paralyzes all legal targets on 15-20 during Accuracy Check. *Grants: Zapper
Ranged (10),,7d10+28,"Ranged (10), No Target, Burst",0,, No Target,,"Ranged (10), No Target, Burst",,7d10+28,,,, Burst,,4,,Fire,Beauty - 2d4 - Round Ender,,,0,Eruption, No Target,Special,4,,Eruption creates a 10-meter Burst. Eruption may not be performed unless the user has at least 90% of its HP.,,Beauty - 2d4 - Round Ender,Center,,,Center,,Ranged (10), Burst,,,Fire,Special,Eruption creates a 10-meter Burst. Eruption may not be performed unless the user has at least 90% of its HP.
Ranged (3),,4d12+16,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,4d12+16,,,, Burst,,4,,Fire,Beauty - 2d4 - Round Starter,,,0,Heat Wave, No Target,Special,4,,Heat Wave creates a 3-meter burst. Heat Wave Burns all Legal Targets on 18-20 during Accuracy Check.,,Beauty - 2d4 - Round Starter,Battle,,,Battle,,Ranged (3), Burst,,,Fire,Special,Heat Wave creates a 3-meter burst. Heat Wave Burns all Legal Targets on 18-20 during Accuracy Check.
Ranged (2),,6d12+22,"Ranged (2), No Target, Burst",0,, No Target,,"Ranged (2), No Target, Burst",,6d12+22,,,, Burst,,4,,Fire,Beauty - 2d4 - Seen Nothing Yet,,,0,Overheat, No Target,Special,4,,Overheat creates a 2-meter Burst. Lower the user's Special Attack 2 Combat Stages after damage.,,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (2), Burst,,,Fire,Special,Overheat creates a 2-meter Burst. Lower the user's Special Attack 2 Combat Stages after damage.
Ranged (7),,4d12+16,"Ranged (7), 1 Target, Burst",0,, 1 Target,,"Ranged (7), 1 Target, Burst",,4d12+16,,,, Burst,,3,,Fire,Beauty - 2d4 - Seen Nothing Yet,,,0,Sacred Fire, 1 Target,Physical,3,,Sacred Fire creates a 7-meter Burst. Sacred Fire Burns all Legal Targets in the Burst on 11-20 during Accuracy Check.,,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (7), Burst,,,Fire,Physical,Sacred Fire creates a 7-meter Burst. Sacred Fire Burns all Legal Targets in the Burst on 11-20 during Accuracy Check.
Melee,,8d10+36,"Melee, No Target, Burst",0,, No Target,,"Melee, No Target, Burst",,8d10+36,,,, Burst,,5,,Fire,Beauty - 2d4 - Seen Nothing Yet,,,0,V-Create, No Target,Physical,5,,"V-Create creates a 10-meter Burst. Lower the user's Defense 1 Combat Stage, lower the user' Special Defense 1 Combat Stage and lower the user's Speed 1 Combat Stage.",,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Melee, Burst,,,Fire,Physical,"V-Create creates a 10-meter Burst. Lower the user's Defense 1 Combat Stage, lower the user' Special Defense 1 Combat Stage and lower the user's Speed 1 Combat Stage."
Melee,,3d12+14,"Melee, 1 Target, Burst",0,, 1 Target,,"Melee, 1 Target, Burst",,3d12+14,,,, Burst,,4,,Flying,Cute - 1d4 - Special Attention,,,0,Bounce, 1 Target,Physical,4,,"Once you declare the use of Bounce, the user is moved up to 10-meters into the air and then the user's turn ends. On your next turn, shift while in the air, lower your height back to the ground, and then use Bounce's damage and the rest of its Effect. Bounce creates a Burst equal half the user's Weight Class. Bounce Paralyzes all Legal Targets on 17-20 during Accuracy Check. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Bounce. *Grants: Jump +1",,Cute - 1d4 - Special Attention,Battle,,,Battle,,Melee, Burst,,,Flying,Physical,"Once you declare the use of Bounce, the user is moved up to 10-meters into the air and then the user's turn ends. On your next turn, shift while in the air, lower your height back to the ground, and then use Bounce's damage and the rest of its Effect. Bounce creates a Burst equal half the user's Weight Class. Bounce Paralyzes all Legal Targets on 17-20 during Accuracy Check. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Bounce. *Grants: Jump +1"
Ranged (6),,-,"Ranged (6), No Target, Burst",0,, No Target,,"Ranged (6), No Target, Burst",,-,,,, Burst,,11,,Grass,Smart - 2d4 - Excitement,,,0,Grasswhistle, No Target,Effect,11,,Grasswhistle creates a 5-meter Burst. All Legal Targets fall Asleep.,,Smart - 2d4 - Excitement,EOT,,,EOT,,Ranged (6), Burst,,,Grass,Effect,Grasswhistle creates a 5-meter Burst. All Legal Targets fall Asleep.
Ranged (6),,3d8+10,"Ranged (6), No Target, Burst",0,, No Target,,"Ranged (6), No Target, Burst",,3d8+10,,,, Burst,,4,,Grass,Beauty - 1d4 - Good Show!,,,0,Leaf Tornado, No Target,Special,4,,"Leaf Tornado creates a 2-meter Burst. On 15-20 during Accuracy Check, all Legal Targets must roll 1 higher on Accuracy Checks for the remainder of the combat.",,Beauty - 1d4 - Good Show!,Battle,,,Battle,,Ranged (6), Burst,,,Grass,Special,"Leaf Tornado creates a 2-meter Burst. On 15-20 during Accuracy Check, all Legal Targets must roll 1 higher on Accuracy Checks for the remainder of the combat."
Ranged (3),,5d12+18,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,5d12+18,,,, Burst,,3,,Grass,Beauty - None - Torrential Appeal,,,0,Petal Dance, No Target,Special,3,,"Petal Dance's user must make another Ranged attack for 1d2 more turns. The attack is identical to Petal Dance except for Petal Dance's effect. Petal Dance creates a 3-meter Burst, but only on the first round of its use. After the first use is declared, Petal Dance targets the nearest Legal Target for its second or third round of use if the original target is unconscious. If potential targets are an equal distance from the user, you may choose the target. After Petal Dance's additional use(s) end(s), the user becomes Confused. For Pokemon users, the additional 1d2 are their Trainer's Command Actions, unless the Trainer is unconscious, in which case the Pokemon acts on its own until finished.",,Beauty - None - Torrential Appeal,Center,,,Center,,Ranged (3), Burst,,,Grass,Special,"Petal Dance's user must make another Ranged attack for 1d2 more turns. The attack is identical to Petal Dance except for Petal Dance's effect. Petal Dance creates a 3-meter Burst, but only on the first round of its use. After the first use is declared, Petal Dance targets the nearest Legal Target for its second or third round of use if the original target is unconscious. If potential targets are an equal distance from the user, you may choose the target. After Petal Dance's additional use(s) end(s), the user becomes Confused. For Pokemon users, the additional 1d2 are their Trainer's Command Actions, unless the Trainer is unconscious, in which case the Pokemon acts on its own until finished."
Ranged (3),,2d10+8,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,2d10+8,,,, Burst,,2,,Ground,Cool - 3d4 - No Effect,,,0,Bulldoze, No Target,Physical,2,,Bulldoze creates a 3-meter Burst. All Legal Targets are lowered 1 Speed Combat Stage.,,Cool - 3d4 - No Effect,EOT,,,EOT,,Ranged (3), Burst,,,Ground,Physical,Bulldoze creates a 3-meter Burst. All Legal Targets are lowered 1 Speed Combat Stage.
Ranged (5),,4d12+16,"Ranged (5), No Target, Burst",0,, No Target,,"Ranged (5), No Target, Burst",,4d12+16,,,, Burst,,2,,Ground,Tough - 2d4 - Round Ender,,,0,Earthquake, No Target,Physical,2,,Earthquake creates a 5-meter Burst. Earthquake can hit targets using the Move Dig. *Grants: Groundshaper,,Tough - 2d4 - Round Ender,Battle,,,Battle,,Ranged (5), Burst,,,Ground,Physical,Earthquake creates a 5-meter Burst. Earthquake can hit targets using the Move Dig. *Grants: Groundshaper
Ranged (2),,See Effect,"Ranged (2), No Target, Burst",0,, No Target,,"Ranged (2), No Target, Burst",,See Effect,,,, Burst,,2,,Ground,Tough - 2d4 - Round Ender,,,0,Magnitude, No Target,Physical,2,,"Magnitude creates a 2-meter Burst. Roll 1d6. On a result of 1, use 1d4 for damage. On a result of 2, use 1d8 for damage. On a result of 3, use 2d8 for damage. On a result of 4, use 2d10 for damage. On a result of 5, use 3d10 for damage. On a result of 6, use 4d10 for damage. Magnitude can hit targets using the Move Dig. *Grants: Groundshaper",,Tough - 2d4 - Round Ender,EOT,,,EOT,,Ranged (2), Burst,,,Ground,Physical,"Magnitude creates a 2-meter Burst. Roll 1d6. On a result of 1, use 1d4 for damage. On a result of 2, use 1d8 for damage. On a result of 3, use 2d8 for damage. On a result of 4, use 2d10 for damage. On a result of 5, use 3d10 for damage. On a result of 6, use 4d10 for damage. Magnitude can hit targets using the Move Dig. *Grants: Groundshaper"
Ranged (7),,6d20+55,"Ranged (7), No Target, Burst",0,, No Target,,"Ranged (7), No Target, Burst",,6d20+55,,,, Burst,,2,,Normal,Beauty - None - Big Show,,,0,Explosion, No Target,Physical,2,,"Explosion creates a 7-meter Burst. The user's HP is set to -50% of their full HP. If the user is above Loyalty 1, their Loyalty is lowered at least 1 stage.",,Beauty - None - Big Show,Center,,,Center,,Ranged (7), Burst,,,Normal,Physical,"Explosion creates a 7-meter Burst. The user's HP is set to -50% of their full HP. If the user is above Loyalty 1, their Loyalty is lowered at least 1 stage."
Ranged (4),,-,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,-,,,, Burst,,2,,Normal,Beauty - 1d4 - Unsettling,,,0,Flash, No Target,Effect,2,,Flash creates a 4-meter Burst. Flash makes all Legal Targets need +1 to hit during Accuracy Checks. *Grants: Glow,,Beauty - 1d4 - Unsettling,EOT,,,EOT,,Ranged (4), Burst,,,Normal,Effect,Flash creates a 4-meter Burst. Flash makes all Legal Targets need +1 to hit during Accuracy Checks. *Grants: Glow
Ranged (5),,-,"Ranged (5), No Target, Burst",0,, No Target,,"Ranged (5), No Target, Burst",,-,,,, Burst,,2,,Normal,Cute - 2d4 - Excitement,,,0,Growl, No Target,Effect,2,,Growl creates a 5-meter Burst. Growl lowers all Legal Targets Attack 1 Combat Stage.,,Cute - 2d4 - Excitement,At-Will,,,At-Will,,Ranged (5), Burst,,,Normal,Effect,Growl creates a 5-meter Burst. Growl lowers all Legal Targets Attack 1 Combat Stage.
Ranged (3),,-,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,-,,,, Burst,,0,,Normal,Beauty - None - Reflective Appeal,,,0,Heal Bell, No Target,Effect,0,,Heal Bell creates a 3-meter Burst. All targets are cured of any Status ailments. Heal Bell cannot miss.,,Beauty - None - Reflective Appeal,Center,,,Center,,Ranged (3), Burst,,,Normal,Effect,Heal Bell creates a 3-meter Burst. All targets are cured of any Status ailments. Heal Bell cannot miss.
Ranged (3),,See Effect,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,See Effect,,,, Burst,,2,,Normal,Smart - 1d4 - Catching Up,,,0,Hidden Power, No Target,Special,2,,"Hidden Power makes a 3-meter Burst. When a pokemon first obtains the Move Hidden Power, roll 1d4 and 1d20. For the 1d4 roll, a result of 1 makes Hidden Power's Damage Dice Roll 1d12+6; a result of 2 makes the Damage Dice Roll 2d8+6; a result of 3 makes the Damage Dice Roll 2d10+8; a result of 4 makes the Damage Dice Roll 3d8+10. For the 1d20 roll, Hidden Power's Elemental Type will be changed from Normal to Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fighting on 5; Fire on 6; Flying on 7; Ghost on 8; Grass on 9; Ground on 10; Ice on 11; Normal on 12; Poison on 13; Psychic on 14; Rock on 15; Steel on 16; Water on 17; and on a result of 18-20, reroll the d20. Those become the Hidden Power's permanent stats for that user.",,Smart - 1d4 - Catching Up,EOT,,,EOT,,Ranged (3), Burst,,,Normal,Special,"Hidden Power makes a 3-meter Burst. When a pokemon first obtains the Move Hidden Power, roll 1d4 and 1d20. For the 1d4 roll, a result of 1 makes Hidden Power's Damage Dice Roll 1d12+6; a result of 2 makes the Damage Dice Roll 2d8+6; a result of 3 makes the Damage Dice Roll 2d10+8; a result of 4 makes the Damage Dice Roll 3d8+10. For the 1d20 roll, Hidden Power's Elemental Type will be changed from Normal to Bug on a result of 1; Dark on 2; Dragon on 3; Electric on 4; Fighting on 5; Fire on 6; Flying on 7; Ghost on 8; Grass on 9; Ground on 10; Ice on 11; Normal on 12; Poison on 13; Psychic on 14; Rock on 15; Steel on 16; Water on 17; and on a result of 18-20, reroll the d20. Those become the Hidden Power's permanent stats for that user."
Ranged (4),,-,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,-,,,, Burst,,0,,Normal,Cute - 2d4 - Hold That Thought,,,0,Lucky Chant, No Target,Effect,0,,"Lucky Chant creates a 4-meter Burst. All allies in the Burst, including the user, take damage from Critical Hits as if they are not Critical Hits for 1d4+1 turns.",,Cute - 2d4 - Hold That Thought,At-Will,,,At-Will,,Ranged (4), Burst,,,Normal,Effect,"Lucky Chant creates a 4-meter Burst. All allies in the Burst, including the user, take damage from Critical Hits as if they are not Critical Hits for 1d4+1 turns."
Ranged (15),,-,"Ranged (15), No Target, Burst",0,, No Target,,"Ranged (15), No Target, Burst",,-,,,, Burst,,0,,Normal,Beauty - 2d4 - Unsettling,,,0,Perish Song, No Target,Effect,0,,"Perish Song creates a 15-meter Burst. Perish Song cannot miss. Perish Song can affect only pokemon. All targets, including the user, receive a Perish Count of 3. At the beginning of each of the target's turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the pokemon's HP to 0. A Perish Count disspears if a Pokemon returns to their Poke Ball or is knocked out.",,Beauty - 2d4 - Unsettling,Center,,,Center,,Ranged (15), Burst,,,Normal,Effect,"Perish Song creates a 15-meter Burst. Perish Song cannot miss. Perish Song can affect only pokemon. All targets, including the user, receive a Perish Count of 3. At the beginning of each of the target's turns, their Perish count is lowered by 1. Once a Perish Count reaches 0, set the pokemon's HP to 0. A Perish Count disspears if a Pokemon returns to their Poke Ball or is knocked out."
Ranged (4),,3d10+12,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,3d10+12,,,, Burst,,2,,Normal,Beauty - 2d4 - Excitement,,,0,Relic Song, No Target,Special,2,,Relic Song creates a 4-meter Burst. All Legal Targets fall Asleep on 16-20 during Accuracy Check.,,Beauty - 2d4 - Excitement,Battle,,,Battle,,Ranged (4), Burst,,,Normal,Special,Relic Song creates a 4-meter Burst. All Legal Targets fall Asleep on 16-20 during Accuracy Check.
Ranged (3),,2d10+8,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,2d10+8,,,, Burst,,2,,Normal,Tough - 2d4 - Reliable,,,0,Round, No Target,Special,2,,Round creates a 3-meter Burst. The next Pokemon who uses Round during this round of Combat uses 3d10+16 for Round's Damage Dice Roll. The third or any use after the third use of Round during this round of Combat uses 4d10+24 for Round's Damage Dice Roll.,,Tough - 2d4 - Reliable,EOT,,,EOT,,Ranged (3), Burst,,,Normal,Special,Round creates a 3-meter Burst. The next Pokemon who uses Round during this round of Combat uses 3d10+16 for Round's Damage Dice Roll. The third or any use after the third use of Round during this round of Combat uses 4d10+24 for Round's Damage Dice Roll.
Ranged (4),,-,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,-,,,, Burst,,4,,Normal,Smart - 2d4 - Unsettling,,,0,Screech, No Target,Effect,4,,Screech creates a 4-meter Burst. All Legal Targets have their Defense lowered 2 Combat Stages.,,Smart - 2d4 - Unsettling,EOT,,,EOT,,Ranged (4), Burst,,,Normal,Effect,Screech creates a 4-meter Burst. All Legal Targets have their Defense lowered 2 Combat Stages.
Ranged (4),,10d10+46,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,10d10+46,,,, Burst,,2,,Normal,Beauty - None - Big Show,,,0,Selfdestruct, No Target,Physical,2,,"Selfdestruct creates a 4-meter Burst. The user's HP is set to -50% of their full HP. If the user is above Loyalty 1, their Loyalty is lowered at least 1 stage.",,Beauty - None - Big Show,Center,,,Center,,Ranged (4), Burst,,,Normal,Physical,"Selfdestruct creates a 4-meter Burst. The user's HP is set to -50% of their full HP. If the user is above Loyalty 1, their Loyalty is lowered at least 1 stage."
Ranged (4),,-,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,-,,,, Burst,,11,,Normal,Cute - 2d4 - Excitement,,,0,Sing, No Target,Effect,11,,Sing creates a 4-meter Burst. All Legal Targets fall Asleep.,,Cute - 2d4 - Excitement,Battle,,,Battle,,Ranged (4), Burst,,,Normal,Effect,Sing creates a 4-meter Burst. All Legal Targets fall Asleep.
Ranged (5),,1d12+6,"Ranged (5), No Target, Burst",0,, No Target,,"Ranged (5), No Target, Burst",,1d12+6,,,, Burst,,2,,Normal,Cute - 3d4 - No Effect,Flinches,,0,Snore, No Target,Special,2,15,Snore creates a 5-meter Burst. Snore Flinches all legal targets on 15-20 during Accuracy Check. Snore can only be used by a Sleeping pokemon.,,Cute - 3d4 - No Effect,EOT,15,,EOT,,Ranged (5), Burst,,Flinches,Normal,Special,Snore creates a 5-meter Burst. Snore Flinches all legal targets on 15-20 during Accuracy Check. Snore can only be used by a Sleeping pokemon.
Ranged (5),,-,"Ranged (5), No Target, Burst",0,, No Target,,"Ranged (5), No Target, Burst",,-,,,, Burst,,2,,Normal,Cute - 2d4 - Excitement,,,0,Sweet Scent, No Target,Effect,2,,"Sweet Scent creates a 5-meter Burst. For the remainder of the encounter, when targeting any Legal Targets that were hit by Sweet Scent, you need -2 to hit that target during Accuracy Check. *Grants: Alluring",,Cute - 2d4 - Excitement,Battle,,,Battle,,Ranged (5), Burst,,,Normal,Effect,"Sweet Scent creates a 5-meter Burst. For the remainder of the encounter, when targeting any Legal Targets that were hit by Sweet Scent, you need -2 to hit that target during Accuracy Check. *Grants: Alluring"
Ranged (7),,-,"Ranged (7), No target, Burst",0,, No target,,"Ranged (7), No target, Burst",,-,,,, Burst,,2,,Normal,Cute - 2d4 - Scrambler,,,0,Teeter Dance, No target,Effect,2,,Teeter Dance creates a 7-meter Burst. Teeter Dance Confuses all Legal Targets.,,Cute - 2d4 - Scrambler,Battle,,,Battle,,Ranged (7), Burst,,,Normal,Effect,Teeter Dance creates a 7-meter Burst. Teeter Dance Confuses all Legal Targets.
Ranged (5),,3d12+14,"Ranged (5), No Target, Burst",0,, No Target,,"Ranged (5), No Target, Burst",,3d12+14,,,, Burst,,2,,Normal,Cute - 2d4 - Unsettling,,,0,Uproar, No Target,Special,2,,"Uproar creates a 5-meter Burst that continues for 1d4+1 turns. At the beginning of the user's turn where Uproar is continuing, they may shift then must immediately use Uproar again. If the user does not continue using Uproar during the next round of combat, Uproar ends. Anyone in Uproar's Burst on any turn Uproar is continuing is cured of Sleep.",,Cute - 2d4 - Unsettling,Battle,,,Battle,,Ranged (5), Burst,,,Normal,Special,"Uproar creates a 5-meter Burst that continues for 1d4+1 turns. At the beginning of the user's turn where Uproar is continuing, they may shift then must immediately use Uproar again. If the user does not continue using Uproar during the next round of combat, Uproar ends. Anyone in Uproar's Burst on any turn Uproar is continuing is cured of Sleep."
Ranged (4),,-,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,-,,,, Burst,,0,,Normal,Cute - 2d4 - Excitement,,,0,Yawn, No Target,Effect,0,,Yawn creates a 4-meter Burst. All targets fall Asleep at the end of their next turn. Yawn cannot miss.,,Cute - 2d4 - Excitement,Battle,,,Battle,,Ranged (4), Burst,,,Normal,Effect,Yawn creates a 4-meter Burst. All targets fall Asleep at the end of their next turn. Yawn cannot miss.
Ranged (4),,-,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,-,,,, Burst,,6,,Poison,Smart - 3d4 - No Effect,,,0,Poison Gas, No Target,Effect,6,,Poison Gas makes a 4-meter Burst. Poison Gas Poisons all Legal Targets.,,Smart - 3d4 - No Effect,EOT,,,EOT,,Ranged (4), Burst,,,Poison,Effect,Poison Gas makes a 4-meter Burst. Poison Gas Poisons all Legal Targets.
Self (2),,-,"Self (2), No Target, Burst",0,, No Target,,"Self (2), No Target, Burst",,-,,,, Burst,,0,,Psychic,Beauty - None - Reflective Appeal,,,0,Heal Pulse, No Target,Effect,0,,Heal Pulse creates a 2-meter Burst. Restores 50% of all Legal Targets max HP. Heal Pulse does not target the user. *Grants: Aura,,Beauty - None - Reflective Appeal,Center,,,Center,,Self (2), Burst,,,Psychic,Effect,Heal Pulse creates a 2-meter Burst. Restores 50% of all Legal Targets max HP. Heal Pulse does not target the user. *Grants: Aura
Ranged (6),,3d8+10,"Ranged (6), No Target, Burst",0,, No Target,,"Ranged (6), No Target, Burst",,3d8+10,,,, Burst,,2,,Psychic,Smart - 2d4 - Incentives,,,0,Synchronoise, No Target,Special,2,,Synchronoise creates a 6-meter Burst. Synchronoise can only hit legal targets that share a type with Synchronoise's user.,,Smart - 2d4 - Incentives,Battle,,,Battle,,Ranged (6), Burst,,,Psychic,Special,Synchronoise creates a 6-meter Burst. Synchronoise can only hit legal targets that share a type with Synchronoise's user.
Ranged (3),,See Effect,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,See Effect,,,, Burst,,2,,Steel,Beauty - 2d4 - Final Appeal,,,0,Metal Burst, No Target,Physical,2,,"Metal Burst may only be used if the user didn't move first in the round and the user has taken damage from a Move this round. The Target is dealt damage equal to 1.5x the amount of damage the user received during the last Move that hit it. Do not apply weakness, resistance or immunity. Do not apply stats.",,Beauty - 2d4 - Final Appeal,Battle,,,Battle,,Ranged (3), Burst,,,Steel,Physical,"Metal Burst may only be used if the user didn't move first in the round and the user has taken damage from a Move this round. The Target is dealt damage equal to 1.5x the amount of damage the user received during the last Move that hit it. Do not apply weakness, resistance or immunity. Do not apply stats."
Ranged (4),,-,"Ranged (4), No Target, Burst",0,, No Target,,"Ranged (4), No Target, Burst",,-,,,, Burst,,4,,Steel,Smart - 2d4 - Unsettling,,,0,Metal Sound, No Target,Effect,4,,Metal Sound creates a 4-meter Burst. All Legal Targets have their Special Defense lowered 2 Combat Stages.,,Smart - 2d4 - Unsettling,EOT,,,EOT,,Ranged (4), Burst,,,Steel,Effect,Metal Sound creates a 4-meter Burst. All Legal Targets have their Special Defense lowered 2 Combat Stages.
Ranged (3),,2d8+8,"Ranged (3), No Target, Burst",0,, No Target,,"Ranged (3), No Target, Burst",,2d8+8,,,, Burst,,2,,Water,Beauty - 2d4 - Round Starter,,,0,Water Pulse, No Target,Special,2,,Water Pulse creates a 3-meter Burst. Water Pulse Confuses all Legal Targets on 17-20 during Accuracy Check. *Grants: Fountain,,Beauty - 2d4 - Round Starter,EOT,,,EOT,,Ranged (3), Burst,,,Water,Special,Water Pulse creates a 3-meter Burst. Water Pulse Confuses all Legal Targets on 17-20 during Accuracy Check. *Grants: Fountain
Ranged(10),,7d10+28,"Ranged(10), No Target, Burst",0,, No Target,,"Ranged(10), No Target, Burst",,7d10+28,,,, Burst,,4,,Water,Beauty - 2d4 - Seen Nothing Yet,,,0,Water Spout, No Target,Special,4,,Water Spout creates a 10-meter Burst. Water Spout may not be performed unless the user has at least 90% of its HP.,,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged(10), Burst,,,Water,Special,Water Spout creates a 10-meter Burst. Water Spout may not be performed unless the user has at least 90% of its HP.
Ranged (15),,6d12+22,"Ranged (15), Target Area, Blast",0,, Target Area,,"Ranged (15), Target Area, Blast",,6d12+22,,,, Blast,,4,,Dragon,Smart - 2d4 - Seen Nothing Yet,,,0,Draco Meteor, Target Area,Special,4,,Draco Meteor creates a 4-meter Blast. Lower the user's Special Attack 2 Combat Stages after damage.,,Smart - 2d4 - Seen Nothing Yet,Center,,,Center,,Ranged (15), Blast,,,Dragon,Special,Draco Meteor creates a 4-meter Blast. Lower the user's Special Attack 2 Combat Stages after damage.
