Key:AttackName NVARCHAR(100),WasEditedForGame INT,Category NVARCHAR(100),ElementType NVARCHAR(100),Frequency NVARCHAR(100),Range NVARCHAR(100),AttackCategory NVARCHAR(100),NumOfTargets NVARCHAR(100),NumOfTurns NVARCHAR(100),AC NVARCHAR(100),Damage NVARCHAR(100),AttackEffects NVARCHAR(MAX),ExtraAffectType NVARCHAR(100),ExtraAffectResult NVARCHAR(100),LengthOfExtraAffect NVARCHAR(100),AccuracyCheckBonus NVARCHAR(100),AccuracyBonusType NVARCHAR(100),AccuracyBonusResult NVARCHAR(100),LengthOfBonusAffect NVARCHAR(100),FullRangeDescription NVARCHAR(MAX),ContestStats NVARCHAR(MAX),ContributedBy NVARCHAR(100)
Mist Ball,0,Special,Psychic,Center,Ranged (10), Column, 1 Target,,2,3d8+10,Mist Ball creates a Column 1 meter wide and creates a 5-meter Blast. Mist Ball lowers all Legal Targets Special Attack 1 Combat Stage on 6-20 during Accuracy Check.,,,,,,,,"Ranged (10), 1 Target, Column, Blast",Smart - 2d4 - Seen Nothing Yet,
Psybeam,0,Special,Psychic,EOT,Ranged (7), Column, 1 Target,,2,3d8+10,Psybeam creates a Column 1 meter wide. Psybeam Confuses all Legal Targets on 19-20 during Accuracy Check.,,,,,,,,"Ranged (7), 1 Target, Column",Beauty - 2d4 - Round Starter,
Psywave,0,Effect,Psychic,OncePerBattle,Ranged (4), Column, 1 Target,,5,-,"Psywave creates a Column 2-meters wide. Roll 1d4; on 1 and 2 all Legal Targets lose HP equal to half the user's level; on 3, all Legal Targets lose HP equal to the user's level; on 4 all Legal Targets lose HP equal to 1.5x the user's level. Do not apply weakness, resistance or immunity. Do not apply stats.",,,,,,,,"Ranged (4), 1 Target, Column",Smart - 3d4 - No Effect,
Ancientpower,0,Special,Psychic,Center,Ranged (8), Column, 1 Target,,2,2d10+8,"Ancientpower creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Ancientpower, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Ancientpower.",,,,,,,,"Ranged (8), 1 Target, Column, Spirit Surge",Tough - 2d4 - Round Ender,
Rock Slide,0,Physical,Rock,OncePerBattle,Ranged (4), Column, 1 Target,,4,3d10+12,Rock Slide creates a Column 4-meters wide. Rock Slide Flinches all Legal Targets on 17-20 during Accuracy Check.,,,,17,,Flinches,,"Ranged (4), 1 Target, Column",Tough - 3d4 - No Effect,
Doom Desire,0,Special,Steel,Center,Ranged (15), Column, 1 Target,,2,6d12+22,"Doom Desire does nothing on the turn it is used. At the end of the second turn after Doom Desire's use, use Doom Desire's damage and effect. Doom Desire creates a Column 1 meter wide, which starts from anywhere on the field.",,,,,,,,"Ranged (15), 1 Target, Column",Cool - 2d4 - Interrupting Appeal,
Mirror Shot,0,Special,Steel,EOT,Ranged (7), Column, 1 Target,,5,3d8+10,Mirror Shot creates a Column 1 meter wide. All Legal Targets must roll +2 during Accuracy Checks to hit on 16-20 during Accuracy Check.,,,,,,,,"Ranged (7), 1 Target, Column",Cute - 2d4 - Round Starter,
Bubblebeam,0,Special,Water,EOT,Ranged (8), Column, 1 Target,,2,3d8+10,Bubblebeam creates a Column 1 meter wide. Bubblebeam lowers the target's Speed on 18-20 during Accuracy Check.,,,,,,,,"Ranged (8), 1 Target, Column",Beauty - 2d4 - Slow Set,
Hydro Pump,0,Special,Water,OncePerBattle,Ranged (9), Column, 1 Target,,4,5d12+18,Hydro Pump creates a Column 1 meter wide. *Grants: Fountain,,,,,,,,"Ranged (9), 1 Target, Column",Beauty - 2d4 - Round Starter,
Muddy Water,0,Special,Water,OncePerBattle,Ranged (4), Column, 1 Target,,5,4d12+16,Muddy Water makes a Column 4-meters wide. All Legal Targets must roll +2 during Accuracy Checks to hit on 16-20 during Accuracy Check.,,,,,,,,"Ranged (4), 1 Target, Column",Tough - 2d4 - Round Ender,
Surf,0,Special,Water,OncePerBattle,Ranged (4), Column, 1 Target,,2,4d12+16,Surf makes a Column 4-meters wide. *Grants: Surface +3; Eliminates: Sinker,,,,,,,,"Ranged (4), 1 Target, Column",Beauty - 2d4 - Round Starter,
Mud Sport,0,Effect,Ground,EOT,Ranged (8), Coat, 1 Target,,0,-,Mud Sport makes a Coat that resists Electric Moves. Mud Sport can Target Self.,,,,,,,,"Ranged (8), 1 Target, Coat",Cute - 2d4 - Hold That Thought,
Mist,0,Effect,Ice,At-Will,Ranged (5), Coat, 1 Target,,0,-,The target with Mist's Coat may not have their Combat Stages lowered. Mist users can Target Self.,,,,,,,,"Ranged (5), 1 Target, Coat",Beauty - 2d4 - Hold That Thought,
Water Sport,0,Effect,Water,EOT,Ranged (4), Coat, 1 Target,,0,-,Water Sport makes a Coat that resists Fire Moves. Water Sport can Target Self. *Grants: Fountain,,,,,,,,"Ranged (4), 1 Target, Coat",Cute - 2d4 - Hold That Thought,
Sacred Fire,0,Physical,Fire,Center,Ranged (7), Burst, 1 Target,,3,4d12+16,Sacred Fire creates a 7-meter Burst. Sacred Fire Burns all Legal Targets in the Burst on 11-20 during Accuracy Check.,,,,,,,,"Ranged (7), 1 Target, Burst",Beauty - 2d4 - Seen Nothing Yet,
Bounce,0,Physical,Flying,OncePerBattle,Melee, Burst, 1 Target,,4,3d12+14,"Once you declare the use of Bounce, the user is moved up to 10-meters into the air and then the user's turn ends. On your next turn, shift while in the air, lower your height back to the ground, and then use Bounce's damage and the rest of its Effect. Bounce creates a Burst equal half the user's Weight Class. Bounce Paralyzes all Legal Targets on 17-20 during Accuracy Check. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Bounce. *Grants: Jump +1",,,,,,,,"Melee, 1 Target, Burst",Cute - 1d4 - Special Attention,
Thunder,0,Special,Electric,OncePerBattle,Ranged (15), Blast, 1 Target,,6,5d12+18,"A 3-meter Blast surrounds the target. Thunder Paralyzes all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blast's radius are Pushed outward, away from the target, 3-meters. If it is Sunny, Thunder's Accuracy Check is 11. If it is Rainy, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss them",,,,,,,,"Ranged (15), 1 Target, Blast",Cool - 2d4 - Round Starter,
Zap Cannon,0,Special,Electric,OncePerBattle,Ranged (10), Blast, 1 Target,,12,5d12+18,"A 2-meter Blast surrounds the target, Paralyzing all Legal Targets in the Blast.",,,,,,,,"Ranged (10), 1 Target, Blast",Cool - 2d4 - Incentives,
Fire Blast,0,Special,Fire,OncePerBattle,Ranged (10), Blast, 1 Target,,6,5d12+18,Fire Blast creates a 2-meter Blast. Fire Blast burns all Legal Targets on 19-20 during Accuracy Check. *Grants: Firestarter,,,,,,,,"Ranged (10), 1 Target, Blast",Beauty - 2d4 - Round Starter,
Featherdance,0,Effect,Flying,EOT,Ranged (10), Blast, 1 Target,,2,-,Feather Dance creates a 1-meter Blast. All Legal Targets in the Blast have their Attack lowered 2 Combat Stages.,,,,,,,,"Ranged (10), 1 Target, Blast",Beauty - 2d4 - Excitement,
Hurricane,0,Special,Flying,OncePerBattle,Ranged (8), Blast, 1 Target,,6,5d12+18,"Hurricane creates a 4-meter Blast. Hurricane Confuses all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blast's radius are Pushed outward, away from the target, 3-meters. If it is Sunny, Hurricane's Accuracy Check is 11. If it is Rainy, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss them.",,,,,,,,"Ranged (8), 1 Target, Blast",Cool - 2d4 - Round Starter,
Cotton Spore,0,Effect,Grass,EOT,Ranged (10), Blast, 1 Target,,2,-,Cotton Spore creates a 2-meter Blast. All Legal Targets have their Speed lowered 2 Combat Stages.,,,,,,,,"Ranged (10), 1 Target, Blast",Beauty - 2d4 - Quick Set,
Seed Bomb,0,Physical,Grass,EOT,Ranged (8), Blast, 1 Target,,2,3d10+12,Seed Bomb creates a 2-meter Blast.,,,,,,,,"Ranged (8), 1 Target, Blast",Smart - 3d4 - No Effect,
Seed Flare,0,Special,Grass,Center,Ranged (15), Blast, 1 Target,,5,5d12+18,Seed Flare creates a 3-meter Blast. All Legal Targets have their Special Defense lowered 1 Combat Stage.,,,,,,,,"Ranged (15), 1 Target, Blast",Cool - 2d4 - Seen Nothing Yet,
Sleep Powder,0,Effect,Grass,Center,Ranged (6), Blast, 1 Target,,6,-,Sleep Powder creates a 1-meter Blast. All Legal Targets fall Asleep.,,,,,,,,"Ranged (6), 1 Target, Blast",Smart - None - Inversed Appeal,
Stun Spore,0,Effect,Grass,At-Will,Ranged (6), Blast, 1 Target,,11,-,Stun Spore creates a 1-meter Blast. Stun Spore paralyzes al Legal Targets.,,,,,,,,"Ranged (6), 1 Target, Blast",Smart - 2d4 - Excitement,
Earth Power,0,Special,Ground,OncePerBattle,Ranged (6), Blast, 1 Target,,2,3d12+14,Earth Power creates a 3-meter Blast. Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16-20 during Accuracy Check.,,,,,,,,"Ranged (6), 1 Target, Blast",Smart - 2d4 - Round Ender,
Mud Bomb,0,Special,Ground,EOT,Ranged (6), Blast, 1 Target,,4,3d8+10,Mud Bomb creates a 1-meter Blast. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter on 17-20 during Accuracy Check.,,,,,,,,"Ranged (6), 1 Target, Blast",Smart - 2d4 - Round Ender,
Sheer Cold,0,Effect,Ice,Center,Ranged (4), Blast, 1 Target,,16,-,Sheer Cold creates 3-meter Blast. All Legal Targets have their HP set to 0. *Grants: Freezer,,,,,,,,"Ranged (4), 1 Target, Blast",Beauty - 2d4 - Big Show,
Egg Bomb,0,Physical,Normal,OncePerBattle,Ranged (8), Blast, 1 Target,,6,4d12+16,Egg Bomb creates a 2-meter Blast.,,,,,,,,"Ranged (8), 1 Target, Blast",Tough - 3d4 - No Effect,
Judgement,0,Special,Normal,Center,Ranged (25), Blast, 1 Target,,2,4d12+16,Judgement makes a 5-meter Blast. Judgment's Type can be whatever Elemental Type the user wants it to be.,,,,,,,,"Ranged (25), 1 Target, Blast",Smart - 2d4 - Scrambler,
Poisonpowder,0,Effect,Poison,EOT,Ranged (4), Blast, 1 Target,,6,-,Poisonpowder creates a 1-meter Blast. Poisonpowder Poisons all Legal Targets.,,,,,,,,"Ranged (4), 1 Target, Blast",Smart - 2d4 - Excitement,
Sludge Bomb,0,Special,Poison,OncePerBattle,Ranged (8), Blast, 1 Target,,2,3d12+14,Sludge Bomb creates a 3-meter Blast. Sludge Bomb poisons all Legal Targets on 15-20 during Accuracy Check.,,,,,,,,"Ranged (8), 1 Target, Blast",Tough - 2d4 - Round Ender,
Smog,0,Special,Poison,EOT,Ranged (3), Blast, 1 Target,,5,1d6+3,Smog creates a 3-meter Blast. Smog Poisons all Legal Targets on 13-20 during Accuracy Check.,,,,,,,,"Ranged (3), 1 Target, Blast",Tough - 3d4 - No Effect,
Rock Tomb,0,Physical,Rock,OncePerBattle,Ranged (6), Blast, 1 Target,,5,2d8+6,Rock Tomb creates a 3-meter Blast. Rock Tomb lowers all Legal Targets Speed 1 Combat Stage. *Grants: Materializer,,,,,,,,"Ranged (6), 1 Target, Blast",Smart - 2d4 - Slow Set,
Natural Gift,0,Special,Normal,OncePerBattle,Ranged (10), Berry, 1 Target,,2,See Effect,Refer to the Move Keywords Berry list. Natural Gift deals damage according to the Berry list and Natural Gift's Type is also defined there. The user's Berry is destroyed and is not consumed. *Grants: Sprouter,,,,,,,,"Ranged (10), 1 Target, Berry",Cool - 2d4 - Round Ender,
Attack Order,0,Physical,Bug,OncePerBattle,Ranged (10),, 1 Target,,2,3d12+14,Attack Order is a Critical Hit on 18-20 during Accuracy Check.,,,,18,,,,"Ranged (10), 1 Target",Smart - 2d4 - Incentives,
Bug Bite,0,Physical,Bug,EOT,Melee,, 1 Target,,2,2d10+8,"If the target has a consumable Held Item, Bug Bite destroys the Item and Bug Bite's user may use the Item's effect.",,,,,,,,"Melee, 1 Target",Tough - None - Attention Grabber,
Fury Cutter,0,Physical,Bug,At-Will,Melee,, 1 Target,,3,1d4,"If Fury Cutter is used successfully and consecutively on the same target, on the round immediately after the last, use 1d12+6 on the second hit instead, 2d12+12 on the third hit instead, 3d12+18 on the fourth hit instead and 4d12+24 on the fifth hit and any successful hits following the fifth hit instead for Fury Cutter's Damage Dice Roll.",,,,,,,,"Melee, 1 Target",Cool - 2d4 - Reliable,
Leech Life,0,Physical,Bug,EOT,Melee,, 1 Target,,2,1d6+1,"After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",,,,,,,,"Melee, 1 Target",Smart - 1d4 - Good Show!,
Curse (g),0,Effect,Ghost,Center,Ranged (4),, 1 Target,,0,-,"Only use if the user is a Ghost type. The user loses 1/2 of their full HP and the target Pokemon is Cursed. A Cursed Pokemon loses 1/8th of their full HP at the beginning of each of their turns. Do not apply weakness, resistance or stats to the lost HP.",,,,,,,,"Ranged (4), 1 Target",Tough - None - Torrential Appeal,
Assurance,0,Physical,Dark,OncePerBattle,Melee,, 1 Target,,2,2d8+6,"If Assurance's target has already been damaged by a Move or Arms Feature on the same round Assurance is being used, use 4d12+16 for Assurance's Damage Dice Roll.",,,,,,,,"Melee, 1 Target",Beauty - 2d4 - Final Appeal,
Bite,0,Physical,Dark,At-Will,Melee,, 1 Target,,2,2d10+8,Bite Flinches the target on 15-20 during Accuracy Check.,,,,15,,Flinches,,"Melee, 1 Target",Tough - 3d4 - No Effect,
Crunch,0,Physical,Dark,EOT,Melee,, 1 Target,,2,3d10+12,Crunch lowers the target's Defense 1 Combat Stage on 17-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target",Tough - 2d4 - Round Starter,
Embargo,0,Effect,Dark,OncePerBattle,Ranged (6),, 1 Target,,2,-,"If the target has a held item, they cannot use it for the remainder of the encounter.",,,,,,,,"Ranged (6), 1 Target",Cute - 2d4 - Hold That Thought,
Faint Attack,0,Physical,Dark,EOT,Melee,, 1 Target,,0,1d10+10,Faint Attack cannot miss.,,,,,,,,"Melee, 1 Target",Smart - 2d4 - Round Ender,
Fake Tears,0,Effect,Dark,EOT,Ranged (10),, 1 Target,,2,-,Lower the target's Special Defense 2 Combat Stages.,,,,,,,,"Ranged (10), 1 Target",Smart - 2d4 - Excitement,
Flatter,0,Effect,Dark,EOT,Ranged (8),, 1 Target,,2,-,Flatter Confuses the target and raises the target's Special Attack 1 Combat Stage.,,,,,,,,"Ranged (8), 1 Target",Smart - 2d4 - Excitement,
Fling,0,Physical,Dark,OncePerBattle,Ranged (12),, 1 Target,,2,2d12+5,"The user may throw its held item when using Fling, changing its Damage Dice Roll. If a berry is thrown, the target receives the berry's benefits as if the target, instead of taking any damage, consuming the berry. If an item that causes an effect is thrown, the item's effect is activated. If any other item is thrown the user deals an additional 2d6 during Damage Dice Roll. All berries or other consumable held items are destroyed when used with Fling. Items that are not destroyed by Fling may be retrieved after an encounter.",,,,,,,,"Ranged (12), 1 Target",Tough - 1d4 - Catching Up,
Foul Play,0,Physical,Dark,OncePerBattle,Melee,, 1 Target,,2,4d12+16,"The target reveals its Attack stat. When calculating damage, add the target's Attack stat instead of the user's Attack stat.",,,,,,,,"Melee, 1 Target",Smart - 3d4 - No Effect,
Knock Off,0,Physical,Dark,EOT,Melee,, 1 Target,,6,1d6+3,"If the target has a held item, the target drops it and the item cannot be picked up or held for the remainder of combat.",,,,,,,,"Melee, 1 Target",Smart - 3d4 - No Effect,
Memento,0,Effect,Dark,OncePerBattle,Ranged (15),, 1 Target,,0,-,The user's HP is set to 0. The user does not need a line of sight to the target. Momento cannot be used if the user is at or below 0 HP. Each of the target's stats are lowered 2 Combat Stages.,,,,,,,,"Ranged (15), 1 Target",Tough - None - Big Show,
Night Daze,0,Physical,Dark,OncePerBattle,Ranged (10),, 1 Target,,2,3d12+14,The Target must roll +1 during Accuracy Checks for the remainder of the encounter on 13-20 during Accuracy Check.,,,,,,,,"Ranged (10), 1 Target",Tough - 2d4 - Unsettling,
Payback,0,Physical,Dark,OncePerBattle,Melee,, 1 Target,,2,2d8+6,"If the target damaged Payback's user on their last turn, during the same round of combat, deal 4d12+16 instead for Damage Dice Roll.",,,,,,,,"Melee, 1 Target",Cool - 1d4 - Special Attention,
Punishment,0,Physical,Dark,OncePerBattle,Melee,, 1 Target,,2,1d10+15,Punishment deals an additional 1d10 for each Combat Stage the target has above 0 per raised stat up to an additional 6d10 per stat.,,,,,,,,"Melee, 1 Target",Smart - 1d4 - Catching Up,
Switcheroo,0,Effect,Dark,OncePerBattle,Melee,, 1 Target,,2,-,The user and the target exchange held items.,,,,,,,,"Melee, 1 Target",Cool - None - Attention Grabber,
Taunt,0,Effect,Dark,EOT,Ranged (10),, 1 Target,,2,-,Taunt's target can only use Moves that have Damage Dice Rolls for the next 1d4+1 turns.,,,,,,,,"Ranged (10), 1 Target",Smart - None - Inversed Appeal,
Thief,0,Physical,Dark,OncePerBattle,Melee,, 1 Target,,2,1d12+6,"Thief takes the target's held item and attaches it to Thief's user, if the user is not holding anything.",,,,,,,,"Melee, 1 Target",Tough - None - Attention Grabber,
Torment,0,Effect,Dark,OncePerBattle,Ranged (10),, 1 Target,,2,-,"For 1d4+2 turns, Torment's target may not use a Move they have already used in their last 2 turns.",,,,,,,,"Ranged (10), 1 Target",Tough - None - Inversed Appeal,
Dragon Claw,0,Physical,Dragon,EOT,Melee,, 1 Target,,2,3d10+12,-,,,,,,,,"Melee, 1 Target",Cool - 2d4 - Round Starter,
Dragon Rage,0,Effect,Dragon,OncePerBattle,Ranged (8),, 1 Target,,2,40,Dragon Rage always deals 40 points of Damage. Do not apply weakness or resistance. Do not apply stats.,,,,,,,,"Ranged (8), 1 Target",Cool - 3d4 - No Effect,
Outrage,0,Physical,Dragon,Center,Melee,, 1 Target,,3,5d12+18,"Outrage's user must make another Melee attack for 1d2 more turns. The attack is identical to Outrage except for Outrage's effect. After the first target is declared, Outrage targets the nearest Legal Target for its second or third round of use if the original target is unconscious. If potential targets are an equal distance from the user, you may choose the target. After Outrage's additional use(s) end(s), the user becomes Confused. For Pokemon users, the additional 1d2 are their Trainer's Command Actions, unless the Trainer is unconscious, in which case the Pokemon acts on its own until finished.",,,,,,,,"Melee, 1 Target",Cool - 2d4 - Reliable,
Spacial Rend,0,Special,Dragon,Center,Ranged (20),, 1 Target,,3,4d12+16,Spacial Rend is a Critical Hit on 11-20 during Accuracy Check.,,,,,,,,"Ranged (20), 1 Target",Tough - 2d4 - Incentives,
Twister,0,Special,Dragon,At-Will,Ranged (10),, 1 Target,,2,1d12+6,"Twister Flinches the target on 18-20 during Accuracy Check. If the target is airborne as a result of Fly or Sky Drop, Twister can hit them, ignoring Range and deals 2d12+16 for its Damage Dice Roll instead.",,,,18,,Flinches,,"Ranged (10), 1 Target",Cool - 3d4 - No Effect,
Bolt Strike,0,Physical,Electric,Center,Ranged (20),, 1 Target,,5,5d12+22,Bolt Strike Paralyzes the target on 17-20 during Accuracy Check.,,,,,,,,"Ranged (20), 1 Target",Cool - 2d4 - Round Starter,
Thunder Fang,0,Physical,Electric,EOT,Melee,, 1 Target,,3,3d8+10,"Thunder Fang Paralyzes or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Paralyzed or Flinched. On 20 during Accuracy Check, the foe is Paralyzed and Flinched.",,,,18,,Flinches,,"Melee, 1 Target",Smart - 3d4 - No Effect,
Thunder Wave,0,Effect,Electric,Center,Ranged (6),, 1 Target,,0,-,Thunder Wave cannot miss. Thunder Wave Paralyzes the target.,,,,,,,,"Ranged (6), 1 Target",Cool - 2d4 - Excitement,
Thunderpunch,0,Physical,Electric,EOT,Melee,, 1 Target,,2,3d10+12,Thunderpunch Paralyzes the target on 19-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target",Cool - 2d4 - Round Starter,
Thundershock,0,Special,Electric,At-Will,Ranged (10),, 1 Target,,2,1d12+6,Thundershock Paralyzes the target on 17-20 during Accuracy Check. *Grants: Zapper,,,,,,,,"Ranged (10), 1 Target",Cool - 2d4 - No Effect,
Volt Switch,0,Special,Electric,OncePerBattle,Ranged (5),, 1 Target,,2,3d8+10,"If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out.",,,,,,,,"Ranged (5), 1 Target",Cute - None - Inversed Appeal,
Aura Sphere,0,Special,Fighting,OncePerBattle,Ranged (10),, 1 Target,,0,3d12+14,Aura Sphere cannot miss. *Grants: Aura,,,,,,,,"Ranged (10), 1 Target",Beauty - 2d4 - Round Starter,
Brick Break,0,Physical,Fighting,EOT,Melee,, 1 Target,,2,3d10+12,Brick Break can destroy Walls.,,,,,,,,"Melee, 1 Target",Cool - 3d4 - No Effect,
Drain Punch,0,Physical,Fighting,OncePerBattle,Melee,, 1 Target,,2,3d10+12,"After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",,,,,,,,"Melee, 1 Target",Beauty - 1d4 - Good Show!,
Dynamicpunch,0,Physical,Fighting,OncePerBattle,Melee,, 1 Target,,12,4d12+16,Dynamicpunch Confuses the target.,,,,,,,,"Melee, 1 Target",Cool - 2d4 - Round Ender,
Final Gambit,0,Special,Fighting,Center,Melee,, 1 Target,,2,-,"Final Gambit lowers the user to 0 HP, and deals 1 point of damage to the target for every point of health lost this way. Final Gambit does not cause items to activate.",,,,,,,,"Melee, 1 Target",Tough - None - Big Show,
Focus Blast,0,Special,Fighting,OncePerBattle,Ranged (10),, 1 Target,,6,5d12+18,Focus Blast lower the target's Special Defense 1 Combat Stage on 18-20 during Accuracy Check. *Grants: Aura,,,,,,,,"Ranged (10), 1 Target",Cool - 2d4 - Round Starter,
Force Palm,0,Physical,Fighting,EOT,Melee,, 1 Target,,2,2d10+8,Force Palm Paralyzes the target on 18-20 during Accuracy Check. Cool - 2d4 - Round Ender *Grants: Aura,,,,,,,,"Melee, 1 Target",Cool - 2d4 - Round Ender,
Hammer Arm,0,Physical,Fighting,OncePerBattle,Melee,, 1 Target,,3,4d12+16,The user lowers their Speed 1 Combat Stage.,,,,,,,,"Melee, 1 Target",Cool - 2d4 - Slow Set,
Karate Chop,0,Physical,Fighting,At-Will,Melee,, 1 Target,,2,2d8+6,Karate Chop is a Critical Hit on 17-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target",Tough - 3d4 - No Effect,
Low Sweep,0,Physical,Fighting,EOT,Melee,, 1 Target,,2,2d10+8,Lowers the target's Speed 1 Combat Stage.,,,,,,,,"Melee, 1 Target",Tough - 3d4 - No Effect,
Revenge,0,Physical,Fighting,OncePerBattle,Melee,, 1 Target,,2,2d10+8,"If the target damaged Revenge's user on their last turn, during the same round of combat, deal 4d12+16 instead for Damage Dice Roll.",,,,,,,,"Melee, 1 Target",Tough - 2d4 - Final Appeal,
Reversal,0,Physical,Fighting,EOT,Melee,, 1 Target,,2,See Effect,"If the user has more than 70% of its total HP, use 1d10+5 for Damage Dice Roll. If the user has more than 36% of its total HP, use 2d10+10. If the user has more than 21% of its total HP, use 3d10+10. If the user has more than 6% of its total HP, use 4d10+10. If the user has 1-5% of its total HP, use 5d10+20.",,,,,,,,"Melee, 1 Target",Cool - 2d4 - Final Appeal,
Rock Smash,0,Physical,Fighting,EOT,Melee,, 1 Target,,2,1d12+6,Rock Smash lowers the target's Defense 1 Combat Stage on 17-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target",Tough - 2d4 - Round Ender,
Secret Sword2,0,Special,Fighting,OncePerBattle,Ranged (15),, 1 Target,,2,3d12+14,"When calculating damage, the target must use their Defense against Secret Sword.",,,,,,,,"Ranged (15), 1 Target",Cool - 3d4 - No Effect,
Seismic Toss,0,Physical,Fighting,Center,Melee,, 1 Target,,2,-,The target loses HP equal to the level of Seismic Toss' user. Do not apply weakness or resistance. Do not apply stats.,,,,,,,,"Melee, 1 Target",Tough - 3d4 - No Effect,
Storm Throw,0,Physical,Fighting,OncePerBattle,Melee,, 1 Target,,2,20,Storm Throw is a Critical Hit.,,,,,,,,"Melee, 1 Target",Cool - 3d4 - No Effect,
Wake-Up Slap,0,Physical,Fighting,OncePerBattle,Melee,, 1 Target,,2,2d8+6,"If the target is Asleep, Wake-Up Slap does 4d12+16 instead for Damage Dice Roll and cures the target of Sleep.",,,,,,,,"Melee, 1 Target",Smart - None - Inversed Appeal,
Blue Flare,0,Special,Fire,Center,Ranged (10),, 1 Target,,5,5d12+22,Blue Flare Burns the target on 17-20 during Accuracy Check.,,,,,,,,"Ranged (10), 1 Target",Beauty - 3d4 - No Effect,
Ember,0,Special,Fire,At-Will,Ranged (8),, 1 Target,,2,1d12+6,Ember Burns the target on 18-20 during Accuracy Check. *Grants: Firestarter,,,,,,,,"Ranged (8), 1 Target",Beauty - 3d4 - No Effect,
Fire Fang,0,Physical,Fire,EOT,Melee ,, 1 Target,,3,3d8+10,"Fire Fang Burns or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Burned or Flinches. On 20 during Accuracy Check, the foe is Burned and Flinches.",,,,18,,Flinches,,"Melee , 1 Target",Beauty - 3d4 - No Effect,
Fire Punch,0,Physical,Fire,EOT,Melee,, 1 Target,,2,3d10+12,Fire Punch Burns the target on 19-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target",Beauty - 2d4 - Round Starter,
Flame Charge,0,Physical,Fire,EOT,Melee,, 1 Target,,2,2d8+6,Raise the user's Speed 1 Combat Stage.,,,,,,,,"Melee, 1 Target",Tough - 2d4 - Excitement,
Incinerate,0,Special,Fire,EOT,Ranged (6),, 1 Target,,2,1d10+4,"If the target is holding a Berry, the Berry is destroyed, without its ability activating.",,,,,,,,"Ranged (6), 1 Target",Beauty - 3d4 - No Effect,
Lava Plume,0,Special,Fire,EOT,Ranged (6),, 1 Target,,2,3d10+12,Lava Plume Burns the target on 16-20 during Accuracy Check.,,,,,,,,"Ranged (6), 1 Target",Tough - 2d4 - Round Starter,
Searing Shot,0,Special,Fire,Center,Ranged (10),, 1 Target,,2,4d12+16,Searing Shot Burns the Target on 15-20 during Accuracy Check.,,,,,,,,"Ranged (10), 1 Target",Beauty - 2d4 - Round Starter,
Will-O-Wisp,0,Effect,Fire,OncePerBattle,Ranged (10),, 1 Target,,4,-,The target is Burned.,,,,,,,,"Ranged (10), 1 Target",Beauty - None - Round starter,
Acrobatics,0,Physical,Flying,OncePerBattle,Melee,, 1 Target,,2,2d10+8,"If the user is not holding an item, Acrobatics deals 4d12+16 instead for Damage Dice Roll.",,,,,,,,"Melee, 1 Target",Smart - 2d4 - Incentives,
Air Cutter,0,Special,Flying,At-Will,Ranged (8),, 1 Target,,2,2d10+8,Air Cutter is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Ranged (8), 1 Target",Cool - 3d4 - No Effect,
Air Slash,0,Special,Flying,EOT,Ranged (8),, 1 Target,,3,3d10+12,Air Slash Flinches the target on 15-20 during Accuracy Check.,,,,15,,Flinches,,"Ranged (8), 1 Target",Cool - 2d4 - Round Starter,
Gust,0,Special,Flying,At-Will,Ranged (10),, 1 Target,,2,1d12+6,"If the target is airborne as a result of Fly or Sky Drop, Gust can hit them, ignoring Range and deals 2d12+16 for its Damage Dice Roll instead. *Grants: Guster",,,,,,,,"Ranged (10), 1 Target",Smart - 3d4 - No Effect,
Mirror Move,0,Effect,Flying,Center,Ranged (15),, 1 Target,,0,-,Use the Move the target has used on their last turn. You may choose new targets for the Move. Mirror Move cannot miss.,,,,,,,,"Ranged (15), 1 Target",Smart - 2d4 - Final Appeal,
Peck,0,Physical,Flying,At-Will,Melee,, 1 Target,,2,1d12+6,-,,,,,,,,"Melee, 1 Target",Cool - 3d4 - No Effect,
